*****************************
Basic coeficients
*****************************
Alpha, Cd
   20.00    ,   -16.58    
   25.00    ,   -16.58    

Alpha, CLad_Basic
  -2.000    ,    2.399    
  -1.000    ,    2.415    
    .000    ,    2.498    
   1.000    ,    2.607    
   2.000    ,    2.708    
   3.000    ,    2.769    
   4.000    ,    2.775    
   5.000    ,    2.763    
   6.000    ,    2.745    
   7.000    ,    2.721    
   8.000    ,    2.691    
   9.000    ,    2.614    
   10.00    ,    2.443    
   12.00    ,    1.926    
   14.00    ,    1.448    
   16.00    ,    .8871    
   18.00    ,   -.3916    
   19.00    ,   -1.493    
   20.00    ,   -2.670    
   25.00    ,   -5.307    

Alpha, Cmad_Basic
  -2.000    ,   -7.488    
  -1.000    ,   -7.539    
    .000    ,   -7.796    
   1.000    ,   -8.137    
   2.000    ,   -8.452    
   3.000    ,   -8.642    
   4.000    ,   -8.660    
   5.000    ,   -8.625    
   6.000    ,   -8.569    
   7.000    ,   -8.494    
   8.000    ,   -8.399    
   9.000    ,   -8.160    
   10.00    ,   -7.625    
   12.00    ,   -6.012    
   14.00    ,   -4.519    
   16.00    ,   -2.769    
   18.00    ,    1.222    
   19.00    ,    4.660    
   20.00    ,    8.335    
   25.00    ,    16.56    

Alpha, Clp
  -2.000    ,   -.4666    
  -1.000    ,   -.4802    
    .000    ,   -.4934    
   1.000    ,   -.5059    
   2.000    ,   -.5175    
   3.000    ,   -.5280    
   4.000    ,   -.5374    
   5.000    ,   -.5458    
   6.000    ,   -.5530    
   7.000    ,   -.5591    
   8.000    ,   -.5639    
   9.000    ,   -.5676    
   10.00    ,   -.5278    
   12.00    ,   -.4056    
   14.00    ,   -.3176    
   16.00    ,   -.1707    
   18.00    ,    .1513    
   19.00    ,    .6986    
   20.00    ,    1.226    
   25.00    ,    2.143    

Alpha, Cyp
  -2.000    ,   -.5909E-02
  -1.000    ,   -.4244E-02
    .000    ,   -.2598E-02
   1.000    ,   -.9700E-03
   2.000    ,    .6423E-03
   3.000    ,    .2240E-02
   4.000    ,    .3824E-02
   5.000    ,    .5395E-02
   6.000    ,    .6956E-02
   7.000    ,    .8506E-02
   8.000    ,    .1005E-01
   9.000    ,    .1158E-01
   10.00    ,    .1299E-01
   12.00    ,    .1629E-01
   14.00    ,    .2003E-01
   16.00    ,    .2392E-01
   18.00    ,    .2684E-01
   19.00    ,    .5115E-01
   20.00    ,    .4335E-01
   25.00    ,    .8058E-01

Alpha, Cnp
  -2.000    ,    .2701E-02
  -1.000    ,   -.4662E-02
    .000    ,   -.1214E-01
   1.000    ,   -.1971E-01
   2.000    ,   -.2736E-01
   3.000    ,   -.3510E-01
   4.000    ,   -.4292E-01
   5.000    ,   -.5082E-01
   6.000    ,   -.5881E-01
   7.000    ,   -.6688E-01
   8.000    ,   -.7504E-01
   9.000    ,   -.8330E-01
   10.00    ,   -.9399E-01
   12.00    ,   -.1150    
   14.00    ,   -.1329    
   16.00    ,   -.1517    
   18.00    ,   -.1698    
   19.00    ,   -.2573    
   20.00    ,   -.2137    
   25.00    ,   -.5832E-01

Alpha, Cnr
  -2.000    ,   -.7369E-01
  -1.000    ,   -.7441E-01
    .000    ,   -.7524E-01
   1.000    ,   -.7618E-01
   2.000    ,   -.7724E-01
   3.000    ,   -.7844E-01
   4.000    ,   -.7978E-01
   5.000    ,   -.8126E-01
   6.000    ,   -.8290E-01
   7.000    ,   -.8469E-01
   8.000    ,   -.8665E-01
   9.000    ,   -.8876E-01
   10.00    ,   -.9102E-01
   12.00    ,   -.9487E-01
   14.00    ,   -.9823E-01
   16.00    ,   -.1007    
   18.00    ,   -.1010    
   19.00    ,   -.9937E-01
   20.00    ,   -.9367E-01
   25.00    ,   -.7687E-01

Alpha, Clr
  -2.000    ,    .1868E-01
  -1.000    ,    .3613E-01
    .000    ,    .5412E-01
   1.000    ,    .7261E-01
   2.000    ,    .9156E-01
   3.000    ,    .1109    
   4.000    ,    .1307    
   5.000    ,    .1508    
   6.000    ,    .1711    
   7.000    ,    .1917    
   8.000    ,    .2125    
   9.000    ,    .2334    
   10.00    ,    .2544    
   12.00    ,    .2864    
   14.00    ,    .3120    
   16.00    ,    .3299    
   18.00    ,    .3320    
   19.00    ,    .3197    
   20.00    ,    .2727    
   25.00    ,   -.6919E-01

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
  -20.00    ,   -.9240E-01
  -10.00    ,   -.5976E-01
  -5.000    ,   -.2988E-01
  -1.000    ,   -.5976E-02
    .000    ,     .000    
   1.000    ,    .5976E-02
   5.000    ,    .2988E-01
   10.00    ,    .5976E-01
   20.00    ,    .9240E-01

Plain flaps
DeltaFlap, Cm
  -20.00    ,    .2636    
  -10.00    ,    .1695    
  -5.000    ,    .8473E-01
  -1.000    ,    .1695E-01
    .000    ,     .000    
   1.000    ,   -.1695E-01
   5.000    ,   -.8473E-01
   10.00    ,   -.1695    
   20.00    ,   -.2638    

Cd_Flaps for Plain flaps
Alpha, DeltaFlap
